Model,accuracy,precision,recall,f1,roc_auc,best_params
GB Basic,0.875,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.9276661884265901,
GB Advanced,0.8641304347826086,0.9052631578947369,0.8431372549019608,0.8730964467005076,0.9259923481587757,
GB Randomized,0.8478260869565217,0.9021739130434783,0.8137254901960784,0.8556701030927835,0.92168818747011,"{'subsample': 0.9, 'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'learning_rate': 0.2}"
GB GridSearch,0.8478260869565217,0.8936170212765957,0.8235294117647058,0.8571428571428571,0.919536107125777,"{'learning_rate': 0.15, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'subsample': 0.8}"
GB Ensemble,0.875,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.9328072692491631,
GB Stacking,0.875,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.9326877092300335,
